stage,n,rate,record_type,segment_dimension,segment,completed_referral_n,completed_referral_rate,treatment_n,treatment_rate,intensified_n,intensified_rate
governed_eligible_evaluable_mhspc,2281,1.0,overall,overall,ALL,,,,,,
relevant_referral_created,2281,1.0,overall,overall,ALL,,,,,,
relevant_referral_completed_by_90d,1713,0.7509864094695309,overall,overall,ALL,,,,,,
any_treatment_initiated_by_90d,1700,0.7452871547566856,overall,overall,ALL,,,,,,
scenario_supported_intensified_by_90d,1026,0.44980271810609385,overall,overall,ALL,,,,,,
treated_without_completed_relevant_referral,386,0.16922402455063568,overall,overall,ALL,,,,,,
intensified_without_completed_relevant_referral,206,0.09031126698816308,overall,overall,ALL,,,,,,
90d_segment,2281,,segment,overall,ALL,1713.0,0.7509864094695309,1700.0,0.7452871547566856,1026.0,0.44980271810609385
90d_segment,113,,segment,market,AU,89.0,0.7876106194690266,90.0,0.7964601769911505,55.0,0.48672566371681414
90d_segment,165,,segment,market,CA,128.0,0.7757575757575758,113.0,0.6848484848484848,60.0,0.36363636363636365
90d_segment,379,,segment,market,CN,196.0,0.5171503957783641,206.0,0.5435356200527705,103.0,0.2717678100263852
90d_segment,385,,segment,market,DE,325.0,0.8441558441558441,309.0,0.8025974025974026,192.0,0.4987012987012987
90d_segment,222,,segment,market,FR,169.0,0.7612612612612613,183.0,0.8243243243243243,104.0,0.46846846846846846
90d_segment,342,,segment,market,JP,302.0,0.8830409356725146,288.0,0.8421052631578947,192.0,0.5614035087719298
90d_segment,675,,segment,market,US,504.0,0.7466666666666667,511.0,0.7570370370370371,320.0,0.4740740740740741
90d_segment,506,,segment,initial_care_setting,academic_oncology,359.0,0.7094861660079052,357.0,0.7055335968379447,204.0,0.4031620553359684
90d_segment,200,,segment,initial_care_setting,community_oncology,167.0,0.835,156.0,0.78,93.0,0.465
90d_segment,1185,,segment,initial_care_setting,community_urology,880.0,0.7426160337552743,900.0,0.759493670886076,555.0,0.46835443037974683
90d_segment,390,,segment,initial_care_setting,mixed_pathway,307.0,0.7871794871794872,287.0,0.735897435897436,174.0,0.4461538461538462
