segment_dimension,segment,window_days,evaluable_eligible_n,any_treatment_initiation_n,any_treatment_initiation_rate,intensified_n,intensified_rate,treated_not_intensified_n,treated_not_intensified_rate,untreated_n,untreated_rate,category_total_n
overall,ALL,30,2281,275,0.12056115738711091,81,0.03551074090311267,194,0.08505041648399825,2006,0.8794388426128891,2281
overall,ALL,60,2281,1255,0.5501972818939062,670,0.29373081981587024,585,0.256466462078036,1026,0.44980271810609385,2281
overall,ALL,90,2281,1700,0.7452871547566856,1026,0.44980271810609385,674,0.2954844366505918,581,0.25471284524331433,2281
market,AU,30,113,10,0.08849557522123894,1,0.008849557522123894,9,0.07964601769911504,103,0.911504424778761,113
market,AU,60,113,63,0.5575221238938053,30,0.26548672566371684,33,0.2920353982300885,50,0.4424778761061947,113
market,AU,90,113,90,0.7964601769911505,55,0.48672566371681414,35,0.30973451327433627,23,0.20353982300884957,113
market,CA,30,165,11,0.06666666666666667,1,0.006060606060606061,10,0.06060606060606061,154,0.9333333333333333,165
market,CA,60,165,65,0.3939393939393939,31,0.18787878787878787,34,0.20606060606060606,100,0.6060606060606061,165
market,CA,90,165,113,0.6848484848484848,60,0.36363636363636365,53,0.3212121212121212,52,0.3151515151515151,165
market,CN,30,379,26,0.06860158311345646,5,0.013192612137203167,21,0.055408970976253295,353,0.9313984168865436,379
market,CN,60,379,116,0.30606860158311344,43,0.11345646437994723,73,0.19261213720316622,263,0.6939313984168866,379
market,CN,90,379,206,0.5435356200527705,103,0.2717678100263852,103,0.2717678100263852,173,0.45646437994722955,379
market,DE,30,385,47,0.12207792207792208,18,0.046753246753246755,29,0.07532467532467532,338,0.8779220779220779,385
market,DE,60,385,261,0.6779220779220779,143,0.37142857142857144,118,0.3064935064935065,124,0.3220779220779221,385
market,DE,90,385,309,0.8025974025974026,192,0.4987012987012987,117,0.3038961038961039,76,0.1974025974025974,385
market,FR,30,222,27,0.12162162162162163,6,0.02702702702702703,21,0.0945945945945946,195,0.8783783783783784,222
market,FR,60,222,127,0.5720720720720721,67,0.30180180180180183,60,0.2702702702702703,95,0.42792792792792794,222
market,FR,90,222,183,0.8243243243243243,104,0.46846846846846846,79,0.35585585585585583,39,0.17567567567567569,222
market,JP,30,342,70,0.2046783625730994,20,0.05847953216374269,50,0.14619883040935672,272,0.7953216374269005,342
market,JP,60,342,273,0.7982456140350878,180,0.5263157894736842,93,0.2719298245614035,69,0.20175438596491227,342
market,JP,90,342,288,0.8421052631578947,192,0.5614035087719298,96,0.2807017543859649,54,0.15789473684210525,342
market,US,30,675,84,0.12444444444444444,30,0.044444444444444446,54,0.08,591,0.8755555555555555,675
market,US,60,675,350,0.5185185185185185,176,0.2607407407407407,174,0.2577777777777778,325,0.48148148148148145,675
market,US,90,675,511,0.7570370370370371,320,0.4740740740740741,191,0.28296296296296297,164,0.24296296296296296,675
initial_care_setting,academic_oncology,30,506,52,0.10276679841897234,19,0.037549407114624504,33,0.06521739130434782,454,0.8972332015810277,506
initial_care_setting,academic_oncology,60,506,258,0.5098814229249012,126,0.2490118577075099,132,0.2608695652173913,248,0.4901185770750988,506
initial_care_setting,academic_oncology,90,506,357,0.7055335968379447,204,0.4031620553359684,153,0.30237154150197626,149,0.29446640316205536,506
initial_care_setting,community_oncology,30,200,41,0.205,9,0.045,32,0.16,159,0.795,200
initial_care_setting,community_oncology,60,200,139,0.695,80,0.4,59,0.295,61,0.305,200
initial_care_setting,community_oncology,90,200,156,0.78,93,0.465,63,0.315,44,0.22,200
initial_care_setting,community_urology,30,1185,141,0.1189873417721519,36,0.030379746835443037,105,0.08860759493670886,1044,0.8810126582278481,1185
initial_care_setting,community_urology,60,1185,658,0.5552742616033756,362,0.30548523206751055,296,0.249789029535865,527,0.4447257383966245,1185
initial_care_setting,community_urology,90,1185,900,0.759493670886076,555,0.46835443037974683,345,0.2911392405063291,285,0.24050632911392406,1185
initial_care_setting,mixed_pathway,30,390,41,0.10512820512820513,17,0.04358974358974359,24,0.06153846153846154,349,0.8948717948717949,390
initial_care_setting,mixed_pathway,60,390,200,0.5128205128205128,102,0.26153846153846155,98,0.2512820512820513,190,0.48717948717948717,390
initial_care_setting,mixed_pathway,90,390,287,0.735897435897436,174,0.4461538461538462,113,0.28974358974358977,103,0.2641025641025641,390
