feature_metadata_id,feature_name,availability_stage,allowed_use_cases,future_information_flag,predictor_allowed_flag,availability_condition,target_label_flag,timing_rule_version
FTM-0000,patient_id,identifier,grouping_only,False,False,never_as_predictor,False,FEATURE-TIMING-v2.0
FTM-0001,market_code,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0002,country,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0003,market_depth,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0004,source_archetype_id,identifier,grouping_only,False,False,never_as_predictor,False,FEATURE-TIMING-v2.0
FTM-0005,age_at_index,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0006,comorbidity_score,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0007,frailty_proxy,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0008,complexity_segment,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0009,region,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0010,insurance_type,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0011,access_index,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0012,socioeconomic_proxy,baseline,all_prediction_tasks,False,True,available_at_index,False,FEATURE-TIMING-v2.0
FTM-0013,prostate_stage,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0014,metastatic_flag,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0015,hormone_sensitive_flag,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0016,castration_resistant_flag,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0017,risk_group,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0018,psa_value,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0019,gleason_score,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0020,isup_grade_group,diagnosis,all_prediction_tasks,False,True,recorded_by_eligibility_date,False,FEATURE-TIMING-v2.0
FTM-0021,mhspc_flag,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0022,denominator_status,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0023,eligibility_flag,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0024,eligible_for_arpi,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0025,eligibility_date,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0026,eligibility_reason,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0027,ineligibility_reason,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0028,clinical_exclusion_reason,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0029,contraindication_flag,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0030,data_sufficiency_flag,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0031,eligibility_rule_version,eligibility,cohort_definition,False,False,available_at_eligibility,False,FEATURE-TIMING-v2.0
FTM-0032,initial_care_setting,diagnosis_pathway,all_prediction_tasks,False,True,first_encounter_only,False,FEATURE-TIMING-v2.0
FTM-0033,initial_provider_specialty,diagnosis_pathway,all_prediction_tasks,False,True,first_encounter_only,False,FEATURE-TIMING-v2.0
FTM-0034,pathway_care_setting,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0035,referral_status,post_referral,"pathway_gap,discontinuation_12m_if_observed",False,True,referral_or_completion_date_le_prediction_index,False,FEATURE-TIMING-v2.0
FTM-0036,referral_completed_flag,post_referral,"pathway_gap,discontinuation_12m_if_observed",False,True,referral_or_completion_date_le_prediction_index,False,FEATURE-TIMING-v2.0
FTM-0037,referral_delay_days,post_referral,"pathway_gap,discontinuation_12m_if_observed",False,True,referral_or_completion_date_le_prediction_index,False,FEATURE-TIMING-v2.0
FTM-0038,decision_owner_specialty,post_referral,"pathway_gap,discontinuation_12m_if_observed",False,True,referral_or_completion_date_le_prediction_index,False,FEATURE-TIMING-v2.0
FTM-0039,active_surveillance_eligible_flag,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0040,active_surveillance_status,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0041,active_surveillance_start_date,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0042,active_surveillance_exit_date,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0043,active_surveillance_exit_reason,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0044,active_surveillance_reclassification_flag,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
