organization_id,market_code,region,organization_type,care_setting,academic_flag,multidisciplinary_team_flag,synthetic_organization_flag
ORG-US-000,US,Northeast,community_urology,community_urology,False,False,True
ORG-US-001,US,West,community_oncology,community_oncology,False,False,True
ORG-US-002,US,West,academic_oncology,academic_oncology,True,True,True
ORG-US-003,US,South,academic_oncology,academic_oncology,True,True,True
ORG-US-004,US,West,mixed_pathway,mixed_pathway,False,True,True
ORG-US-005,US,Midwest,community_urology,community_urology,False,False,True
ORG-US-006,US,Northeast,academic_oncology,academic_oncology,True,True,True
ORG-US-007,US,Midwest,academic_oncology,academic_oncology,True,True,True
ORG-US-008,US,Northeast,community_oncology,community_oncology,False,False,True
ORG-US-009,US,South,community_urology,community_urology,False,False,True
ORG-US-010,US,South,community_oncology,community_oncology,False,False,True
ORG-US-011,US,Northeast,mixed_pathway,mixed_pathway,False,True,True
ORG-US-012,US,West,community_urology,community_urology,False,False,True
ORG-US-013,US,Midwest,community_oncology,community_oncology,False,False,True
ORG-DE-000,DE,East,community_urology,community_urology,False,False,True
ORG-DE-001,DE,North,academic_oncology,academic_oncology,True,True,True
ORG-DE-002,DE,East,academic_oncology,academic_oncology,True,True,True
ORG-DE-003,DE,East,community_oncology,community_oncology,False,False,True
ORG-DE-004,DE,South,mixed_pathway,mixed_pathway,False,True,True
ORG-DE-005,DE,West,mixed_pathway,mixed_pathway,False,True,True
ORG-DE-006,DE,North,mixed_pathway,mixed_pathway,False,True,True
ORG-DE-007,DE,West,academic_oncology,academic_oncology,True,True,True
ORG-DE-008,DE,West,community_oncology,community_oncology,False,False,True
ORG-JP-000,JP,Hokkaido-Tohoku,community_urology,community_urology,False,False,True
ORG-JP-001,JP,Hokkaido-Tohoku,community_oncology,community_oncology,False,False,True
ORG-JP-002,JP,Kanto,academic_oncology,academic_oncology,True,True,True
ORG-JP-003,JP,Kanto,community_oncology,community_oncology,False,False,True
ORG-JP-004,JP,Chubu-Kansai,community_urology,community_urology,False,False,True
ORG-JP-005,JP,Chubu-Kansai,academic_oncology,academic_oncology,True,True,True
ORG-JP-006,JP,Hokkaido-Tohoku,academic_oncology,academic_oncology,True,True,True
ORG-JP-007,JP,Kanto,community_urology,community_urology,False,False,True
ORG-JP-008,JP,Chugoku-Shikoku-Kyushu,community_oncology,community_oncology,False,False,True
ORG-JP-009,JP,Chugoku-Shikoku-Kyushu,mixed_pathway,mixed_pathway,False,True,True
ORG-FR-000,FR,South,community_urology,community_urology,False,False,True
ORG-FR-001,FR,East,community_oncology,community_oncology,False,False,True
ORG-FR-002,FR,East,academic_oncology,academic_oncology,True,True,True
ORG-FR-003,FR,North,mixed_pathway,mixed_pathway,False,True,True
ORG-CN-000,CN,West,community_urology,community_urology,False,False,True
ORG-CN-001,CN,East,academic_oncology,academic_oncology,True,True,True
ORG-CN-002,CN,West,mixed_pathway,mixed_pathway,False,True,True
ORG-CN-003,CN,South,academic_oncology,academic_oncology,True,True,True
ORG-CN-004,CN,Central,mixed_pathway,mixed_pathway,False,True,True
ORG-AU-000,AU,Victoria,community_urology,community_urology,False,False,True
ORG-AU-001,AU,Queensland,academic_oncology,academic_oncology,True,True,True
ORG-AU-002,AU,Other,academic_oncology,academic_oncology,True,True,True
ORG-CA-000,CA,West,mixed_pathway,mixed_pathway,False,True,True
ORG-CA-001,CA,Ontario,academic_oncology,academic_oncology,True,True,True
ORG-CA-002,CA,West,academic_oncology,academic_oncology,True,True,True
