Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,1383164.33,112009.09,248856.30,853,0,804,0,2437,0,152,0,13,0.7030266183034872,1500
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,9810971.80,186927.43,68770.00,2254,0,955,0,5568,0,446,0,16,0.9490052788749888,6900
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2553214.95,96694.79,14030.00,1913,0,1803,0,3498,0,137,0,6,0.6712843586539401,1440
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,1000156.79,686930.58,739062.00,548,0,221,0,1042,0,341,0,8,0.9536306450412098,2196
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,701738.03,408877.68,942045.00,334,0,129,0,774,0,140,0,11,0.5627774289049792,2904
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,146258.08,39344.63,100097.00,53,0,25,0,105,0,38,0,2,0.9411764705882353,204
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,187936.39,128331.43,47236.16,90,0,20,0,233,0,54,0,4,0.9965846779343788,408
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,253822.94,171156.82,78756.87,129,0,71,0,360,0,47,0,3,0.9383037021947408,612
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,5757.28,6574.61,14555.61,12,0,3,0,22,0,12,0,2,0.8961455951096353,120
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,3475865.98,0.00,0,873,0,144,0,2076,0,294,9,0.9991157136341848,2796
