kpi,value,data_label
total_patients,10000,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
prostate_cancer,10000,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
mhspc,3727,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
eligible,3508,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
initiated,2363,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
initiated_30d,790,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
initiated_60d,1827,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
initiated_90d,2266,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
treatment_gap_90d,1242,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
persistent_3m,2161,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
persistent_6m,1885,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
persistent_12m,1035,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
discontinuations,574,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
switches,363,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
restarts,82,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
progressions,2969,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
deaths,877,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
lost_to_follow_up,684,SYNTHETIC DEMO DATA – NOT REAL BAYER OR CLINICAL DATA
