table,column,dtype,nullable_observed,missing_count,missing_rate
patient,patient_id,object,False,0,0.0
patient,source_patient_id,object,True,9996,0.9996
patient,source_archetype_id,object,False,0,0.0
patient,source_record_type,object,False,0,0.0
patient,birth_date,datetime64[ns],False,0,0.0
patient,index_date,datetime64[ns],False,0,0.0
patient,birth_year,int32,False,0,0.0
patient,age_at_index,int64,False,0,0.0
patient,sex,object,False,0,0.0
patient,market_code,object,False,0,0.0
patient,country,object,False,0,0.0
patient,market_depth,object,False,0,0.0
patient,region,object,False,0,0.0
patient,postal_code_prefix,object,False,0,0.0
patient,race,object,True,291,0.0291
patient,ethnicity,object,True,436,0.0436
patient,insurance_type,object,True,277,0.0277
patient,access_index,float64,False,0,0.0
patient,comorbidity_score,int64,False,0,0.0
patient,frailty_proxy,float64,False,0,0.0
patient,complexity_segment,object,False,0,0.0
patient,socioeconomic_proxy,object,False,0,0.0
patient,date_of_death,datetime64[ns],True,9228,0.9228
patient,synthetic_oversampling_flag,bool,False,0,0.0
patient,population_representative_flag,bool,False,0,0.0
patient,sampling_weight,float64,False,0,0.0
patient,synthetic_scenario_version,object,False,0,0.0
diagnosis,diagnosis_id,object,False,0,0.0
diagnosis,patient_id,object,False,0,0.0
diagnosis,market_code,object,False,0,0.0
diagnosis,diagnosis_date,datetime64[ns],False,0,0.0
diagnosis,prostate_cancer_flag,bool,False,0,0.0
diagnosis,prostate_stage,object,False,0,0.0
diagnosis,localized_flag,bool,False,0,0.0
diagnosis,locally_advanced_flag,bool,False,0,0.0
diagnosis,metastatic_flag,bool,False,0,0.0
diagnosis,metastatic_date,datetime64[ns],True,7156,0.7156
diagnosis,metastatic_site,object,False,0,0.0
diagnosis,hormone_sensitive_flag,bool,False,0,0.0
diagnosis,hormone_sensitive_confirmation_date,datetime64[ns],True,7631,0.7631
diagnosis,castration_resistant_flag,bool,False,0,0.0
diagnosis,castration_resistant_date,datetime64[ns],True,9815,0.9815
diagnosis,risk_group,object,False,0,0.0
diagnosis,psa_value,object,True,488,0.0488
diagnosis,gleason_primary_pattern,Int64,True,412,0.0412
diagnosis,gleason_secondary_pattern,Int64,True,412,0.0412
diagnosis,gleason_score,Int64,True,412,0.0412
diagnosis,isup_grade_group,Int64,True,412,0.0412
diagnosis,diagnosis_source,object,False,0,0.0
diagnosis,clinical_state_model_version,object,False,0,0.0
diagnosis,data_quality_flag,object,False,0,0.0
disease_state_event,disease_state_event_id,object,False,0,0.0
disease_state_event,patient_id,object,False,0,0.0
disease_state_event,market_code,object,False,0,0.0
disease_state_event,state_date,datetime64[ns],False,0,0.0
disease_state_event,state,object,False,0,0.0
disease_state_event,previous_state,object,True,10000,0.981643
disease_state_event,transition_reason,object,False,0,0.0
disease_state_event,clinical_state_model_version,object,False,0,0.0
disease_state_event,synthetic_event_flag,bool,False,0,0.0
eligibility,eligibility_id,object,False,0,0.0
eligibility,patient_id,object,False,0,0.0
eligibility,market_code,object,False,0,0.0
