table,rows,columns,memory_bytes
patient,10000,27,9862776
diagnosis,10000,24,6547397
disease_state_event,10187,9,4394463
eligibility,10000,20,7594150
organization,48,8,14519
provider,64,10,24467
encounter,76819,12,43922548
referral,5405,16,4370171
active_surveillance,5055,18,3033101
observation,10000,13,3639292
treatment_episode,2383,24,1738308
treatment_regimen,2383,14,1537749
treatment_regimen_component,4231,17,3036906
prescription_event,26050,20,22155580
adverse_event,459,10,197411
outcome,10000,21,4432394
patient_split,10000,6,3745807
feature_timing,100,9,39891
patient_journey,10000,100,28408655
