analysis_stage,pathway,gap_threshold_days,event_classification,count,percent_within_stage_pathway,treatment_as_discontinuation
TIME_TO_INITIATION,mcrpc,,ADMINISTRATIVE_CENSORING,267,77.16763005780346,False
TIME_TO_INITIATION,mcrpc,,DEATH,45,13.00578034682081,False
TIME_TO_INITIATION,mcrpc,,INITIATED,5,1.4450867052023122,False
TIME_TO_INITIATION,mcrpc,,LOST_TO_FOLLOW_UP,29,8.38150289017341,False
TIME_TO_INITIATION,mhspc_mcspc,,ADMINISTRATIVE_CENSORING,407,17.843051293292415,False
TIME_TO_INITIATION,mhspc_mcspc,,DEATH,78,3.419552827707146,False
TIME_TO_INITIATION,mhspc_mcspc,,INITIATED,1751,76.76457693993862,False
TIME_TO_INITIATION,mhspc_mcspc,,LOST_TO_FOLLOW_UP,45,1.972818939061815,False
PERSISTENCE_ENDPOINT,mcrpc,30,ADMINISTRATIVE_CENSORING,2,40.0,False
PERSISTENCE_ENDPOINT,mcrpc,30,DEATH,1,20.0,False
PERSISTENCE_ENDPOINT,mcrpc,30,TEMPORARY_GAP_RESTARTED,2,40.0,False
PERSISTENCE_ENDPOINT,mcrpc,60,ADMINISTRATIVE_CENSORING,4,80.0,False
PERSISTENCE_ENDPOINT,mcrpc,60,DEATH,1,20.0,False
PERSISTENCE_ENDPOINT,mcrpc,90,ADMINISTRATIVE_CENSORING,4,80.0,False
PERSISTENCE_ENDPOINT,mcrpc,90,DEATH,1,20.0,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,30,ADMINISTRATIVE_CENSORING,38,2.1701884637350086,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,30,DEATH,79,4.511707595659623,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,30,DISCONTINUED,902,51.51342090234152,True
PERSISTENCE_ENDPOINT,mhspc_mcspc,30,LOST_TO_FOLLOW_UP,20,1.1422044545973729,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,30,SWITCHED,107,6.110793832095945,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,30,TEMPORARY_GAP_RESTARTED,605,34.551684751570534,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,60,ADMINISTRATIVE_CENSORING,69,3.9406053683609366,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,60,DEATH,97,5.539691604797259,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,60,DISCONTINUED,1142,65.21987435751,True
PERSISTENCE_ENDPOINT,mhspc_mcspc,60,LOST_TO_FOLLOW_UP,31,1.770416904625928,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,60,SWITCHED,137,7.824100513992005,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,60,TEMPORARY_GAP_RESTARTED,275,15.705311250713878,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,90,ADMINISTRATIVE_CENSORING,90,5.139920045688179,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,90,DEATH,107,6.110793832095945,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,90,DISCONTINUED,1213,69.27470017133066,True
PERSISTENCE_ENDPOINT,mhspc_mcspc,90,LOST_TO_FOLLOW_UP,34,1.941747572815534,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,90,SWITCHED,143,8.166761850371216,False
PERSISTENCE_ENDPOINT,mhspc_mcspc,90,TEMPORARY_GAP_RESTARTED,164,9.366076527698459,False
