pathway,pathway_label,segment_dimension,segment_value,window_days,market_depth_context,n,eligible_n,eligible_observed_n,eligible_proxy_n,eligibility_uncertain_n,evaluable_eligible_n,censored_before_window_n,initiated_n,eligible_but_not_initiated_n,initiation_rate,treatment_gap,wilson_95_lower,wilson_95_upper,non_intensified_n,non_intensified_rate,follow_up_adequacy,missingness_rate,confidence_category,actionability,conclusion_type,initiation_event_type
active_surveillance,Active surveillance uptake,overall,ALL,30,mixed,5055,3367,3367,0,0,3367,0,634,2733,0.18829818829818828,0.8117018117018118,0.1754506382176543,0.20185620408546665,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,overall,ALL,60,mixed,5055,3367,3367,0,0,3367,0,1738,1629,0.5161865161865162,0.48381348381348377,0.4992975102303802,0.5330386280206728,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,overall,ALL,90,mixed,5055,3367,3367,0,0,3367,0,1738,1629,0.5161865161865162,0.48381348381348377,0.4992975102303802,0.5330386280206728,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
mcrpc,mCRPC,overall,ALL,30,mixed,362,346,0,346,0,341,5,2,339,0.005865102639296188,0.9941348973607038,0.0016098652836885469,0.021129850574258983,,,0.9855491329479769,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,overall,ALL,60,mixed,362,346,0,346,0,337,9,2,335,0.005934718100890208,0.9940652818991098,0.001628991241610667,0.021377590114655703,,,0.9739884393063584,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,overall,ALL,90,mixed,362,346,0,346,0,332,14,3,329,0.009036144578313253,0.9909638554216867,0.0030777145017795333,0.026226576568772777,,,0.9595375722543352,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,overall,ALL,30,mixed,2369,2281,2281,0,0,2281,0,275,2006,0.12056115738711091,0.8794388426128891,0.10783225290274465,0.1345659947482085,69.0,0.2509090909090909,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,overall,ALL,60,mixed,2369,2281,2281,0,0,2281,0,1255,1026,0.5501972818939062,0.44980271810609385,0.5297142062511541,0.57051155994638,289.0,0.2302788844621514,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,overall,ALL,90,mixed,2369,2281,2281,0,0,2281,0,1700,581,0.7452871547566856,0.2547128452433144,0.7270044800447014,0.7627450063091884,379.0,0.22294117647058823,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
nmcrpc,nmCRPC,overall,ALL,30,mixed,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,overall,ALL,60,mixed,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,overall,ALL,90,mixed,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
