variable,missingness_indicator,grouping_dimension,group_value,group_n,missing_n,observed_n,missing_rate,overall_missing_rate,delta_vs_overall,between_group_range_percentage_points,appears_associated_with_outcome,missingness_mechanism,interpretation
race,race__missing,market,AU,800,22,778,0.0275,0.0291,-0.0016000000000000007,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,market,CA,900,34,866,0.03777777777777778,0.0291,0.008677777777777777,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,market,CN,1200,59,1141,0.049166666666666664,0.0291,0.020066666666666663,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,market,DE,1800,41,1759,0.02277777777777778,0.0291,-0.006322222222222222,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,market,FR,1100,42,1058,0.038181818181818185,0.0291,0.009081818181818184,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,market,JP,1600,30,1570,0.01875,0.0291,-0.010350000000000002,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,market,US,2600,63,2537,0.02423076923076923,0.0291,-0.0048692307692307715,3.0416666666666665,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,disease_state,localized,5055,129,4926,0.025519287833827894,0.0291,-0.003580712166172107,1.8679607193796415,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,disease_state,locally_advanced,1729,56,1673,0.032388663967611336,0.0291,0.0032886639676113355,1.8679607193796415,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,disease_state,mCRPC,362,16,346,0.04419889502762431,0.0291,0.015098895027624307,1.8679607193796415,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,disease_state,mHSPC,2192,69,2123,0.031478102189781025,0.0291,0.0023781021897810242,1.8679607193796415,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,disease_state,metastatic_other,290,8,282,0.027586206896551724,0.0291,-0.0015137931034482771,1.8679607193796415,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,disease_state,unknown,372,13,359,0.03494623655913978,0.0291,0.005846236559139781,1.8679607193796415,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,active_surveillance_vs_advanced,active_surveillance,5055,129,4926,0.025519287833827894,0.0291,-0.003580712166172107,0.7322216211864633,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,active_surveillance_vs_advanced,advanced_disease,2844,93,2751,0.03270042194092827,0.0291,0.0036004219409282723,0.7322216211864633,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,active_surveillance_vs_advanced,localized_or_other_non_as,2101,69,2032,0.03284150404569253,0.0291,0.003741504045692526,0.7322216211864633,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
race,race__missing,care_setting,academic_oncology,2034,66,1968,0.032448377581120944,0.0291,0.0033483775811209426,1.4369281535923202,False,collected-but-unavailable or market/source dependent,descriptive association only; no imputation or causal claim
