target,model,model_status,reason,analysis_population_n,positive_n,prevalence,split_method,temporal_cutoff,train_n,test_n,test_positive_n,operational_capacity_fraction,iterations,pr_auc_ci_lower,pr_auc_ci_upper,roc_auc_ci_lower,roc_auc_ci_upper,brier_ci_lower,brier_ci_upper,pr_auc,roc_auc,brier_score,threshold,actual_capacity_fraction,recall_at_capacity,precision_at_capacity,specificity_at_capacity,true_negative,false_positive,false_negative,true_positive,causal_interpretation_allowed
non_initiated_within_90_days,logistic_regression,FITTED,Transparent NumPy IRLS logistic baseline; L2 penalty=1.0.,2281,581,0.25471284524331433,patient-grouped temporal holdout,2023-04-20,1716.0,565.0,139.0,0.2,5.0,0.32632829408804026,0.48256790511058245,0.6171833879343503,0.7130941837409122,0.15333328974226115,0.19617263344996544,0.3942264675929094,0.6684567838686797,0.1753468785301808,0.26907546392495624,0.2,0.3669064748201439,0.45132743362831856,0.8544600938967136,364.0,62.0,88.0,51.0,False
non_initiated_within_90_days,tree_based_challenger,NOT_RUN,Optional challenger omitted because no validated tree library is installed; no dependency was added to the controlled environment.,2281,581,,,,,,,,,,,,,,,,,,,,,,,,,,,
non_initiated_within_90_days,survival_model,NOT_RUN,Competing-risk/survival library unavailable; gap-defined persistence and competing events do not justify a home-grown survival model.,2281,581,,,,,,,,,,,,,,,,,,,,,,,,,,,
discontinued_within_12_months,logistic_regression,FITTED,Transparent NumPy IRLS logistic baseline; L2 penalty=1.0.,1557,587,0.37700706486833657,patient-grouped temporal holdout,2023-05-21,1165.0,392.0,151.0,0.2,5.0,0.2999855099483279,0.43006357681972784,0.4248552348489896,0.5321659937260849,0.2299175066307413,0.2596325663199902,0.3675478116505031,0.4724794592069468,0.24509919052823917,0.42401685905084113,0.20153061224489796,0.17880794701986755,0.34177215189873417,0.7842323651452282,189.0,52.0,124.0,27.0,False
discontinued_within_12_months,tree_based_challenger,NOT_RUN,Optional challenger omitted because no validated tree library is installed; no dependency was added to the controlled environment.,1557,587,,,,,,,,,,,,,,,,,,,,,,,,,,,
discontinued_within_12_months,survival_model,NOT_RUN,Competing-risk/survival library unavailable; gap-defined persistence and competing events do not justify a home-grown survival model.,1557,587,,,,,,,,,,,,,,,,,,,,,,,,,,,
switched_treatment,logistic_regression,FITTED,Transparent NumPy IRLS logistic baseline; L2 penalty=1.0.,1074,104,0.09683426443202979,patient-grouped temporal holdout,2023-05-18,803.0,271.0,29.0,0.2,5.0,0.09283239210046773,0.25464939843047824,0.4527122341426689,0.6754361493454503,0.06630261691178457,0.12549241254510277,0.15625883565830156,0.573382730122542,0.096927215390214,0.17651923673035155,0.2029520295202952,0.3448275862068966,0.18181818181818182,0.8140495867768595,197.0,45.0,19.0,10.0,False
switched_treatment,tree_based_challenger,NOT_RUN,Optional challenger omitted because no validated tree library is installed; no dependency was added to the controlled environment.,1074,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
switched_treatment,survival_model,NOT_RUN,Competing-risk/survival library unavailable; gap-defined persistence and competing events do not justify a home-grown survival model.,1074,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
restarted_after_gap,logistic_regression,FITTED,Transparent NumPy IRLS logistic baseline; L2 penalty=1.0.,587,217,0.3696763202725724,patient-grouped temporal holdout,2023-05-17,435.0,152.0,57.0,0.2,5.0,0.3106634420164056,0.4960844063900851,0.4413334610270541,0.6286160135733395,0.23160288595268338,0.2676199428258606,0.3928174218390634,0.5253924284395198,0.24855321067391656,0.5406480668560959,0.20394736842105263,0.22807017543859648,0.41935483870967744,0.8105263157894737,77.0,18.0,44.0,13.0,False
restarted_after_gap,tree_based_challenger,NOT_RUN,Optional challenger omitted because no validated tree library is installed; no dependency was added to the controlled environment.,587,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
restarted_after_gap,survival_model,NOT_RUN,Competing-risk/survival library unavailable; gap-defined persistence and competing events do not justify a home-grown survival model.,587,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
