month,market_code,domain,record_count
2019-01,AU,patient,13
2019-01,CA,patient,9
2019-01,CN,patient,13
2019-01,DE,patient,21
2019-01,FR,patient,16
2019-01,JP,patient,23
2019-01,US,patient,40
2019-02,AU,patient,7
2019-02,CA,patient,12
2019-02,CN,patient,15
2019-02,DE,patient,24
2019-02,FR,patient,16
2019-02,JP,patient,23
2019-02,US,patient,33
2019-03,AU,patient,12
2019-03,CA,patient,18
2019-03,CN,patient,20
2019-03,DE,patient,25
2019-03,FR,patient,13
2019-03,JP,patient,26
2019-03,US,patient,43
2019-04,AU,patient,10
2019-04,CA,patient,10
2019-04,CN,patient,14
2019-04,DE,patient,20
2019-04,FR,patient,14
2019-04,JP,patient,20
2019-04,US,patient,28
2019-05,AU,patient,12
2019-05,CA,patient,14
2019-05,CN,patient,24
2019-05,DE,patient,34
2019-05,FR,patient,16
2019-05,JP,patient,19
2019-05,US,patient,48
2019-06,AU,patient,9
2019-06,CA,patient,6
2019-06,CN,patient,12
2019-06,DE,patient,32
2019-06,FR,patient,15
2019-06,JP,patient,25
2019-06,US,patient,38
2019-07,AU,patient,10
2019-07,CA,patient,9
2019-07,CN,patient,17
2019-07,DE,patient,21
2019-07,FR,patient,23
2019-07,JP,patient,17
2019-07,US,patient,44
2019-08,AU,patient,22
2019-08,CA,patient,11
2019-08,CN,patient,16
2019-08,DE,patient,34
2019-08,FR,patient,11
2019-08,JP,patient,26
2019-08,US,patient,36
2019-09,AU,patient,13
2019-09,CA,patient,14
2019-09,CN,patient,21
2019-09,DE,patient,24
2019-09,FR,patient,13
2019-09,JP,patient,26
2019-09,US,patient,32
2019-10,AU,patient,12
2019-10,CA,patient,13
2019-10,CN,patient,21
2019-10,DE,patient,23
2019-10,FR,patient,12
2019-10,JP,patient,33
2019-10,US,patient,46
2019-11,AU,patient,9
2019-11,CA,patient,10
2019-11,CN,patient,11
2019-11,DE,patient,27
2019-11,FR,patient,15
2019-11,JP,patient,27
2019-11,US,patient,42
2019-12,AU,patient,15
2019-12,CA,patient,13
2019-12,CN,patient,24
2019-12,DE,patient,28
2019-12,FR,patient,19
2019-12,JP,patient,18
2019-12,US,patient,37
2020-01,AU,patient,15
2020-01,CA,patient,12
2020-01,CN,patient,16
2020-01,DE,patient,20
2020-01,FR,patient,15
2020-01,JP,patient,18
2020-01,US,patient,39
2020-02,AU,patient,5
2020-02,CA,patient,8
2020-02,CN,patient,16
2020-02,DE,patient,21
2020-02,FR,patient,11
2020-02,JP,patient,20
2020-02,US,patient,34
2020-03,AU,patient,13
2020-03,CA,patient,7
2020-03,CN,patient,21
2020-03,DE,patient,22
2020-03,FR,patient,14
2020-03,JP,patient,18
2020-03,US,patient,36
2020-04,AU,patient,10
2020-04,CA,patient,18
2020-04,CN,patient,19
2020-04,DE,patient,15
2020-04,FR,patient,14
2020-04,JP,patient,26
2020-04,US,patient,42
2020-05,AU,patient,11
2020-05,CA,patient,19
2020-05,CN,patient,17
2020-05,DE,patient,25
2020-05,FR,patient,15
2020-05,JP,patient,24
2020-05,US,patient,43
2020-06,AU,patient,15
2020-06,CA,patient,11
2020-06,CN,patient,21
2020-06,DE,patient,21
2020-06,FR,patient,19
2020-06,JP,patient,24
2020-06,US,patient,45
2020-07,AU,patient,17
2020-07,CA,patient,12
2020-07,CN,patient,22
2020-07,DE,patient,25
2020-07,FR,patient,27
2020-07,JP,patient,18
2020-07,US,patient,35
2020-08,AU,patient,16
2020-08,CA,patient,14
2020-08,CN,patient,18
2020-08,DE,patient,22
2020-08,FR,patient,17
2020-08,JP,patient,19
2020-08,US,patient,49
2020-09,AU,patient,11
2020-09,CA,patient,15
2020-09,CN,patient,20
2020-09,DE,patient,27
2020-09,FR,patient,14
