pathway,gap_threshold_days,landmark_days,landmark_label,segment_dimension,segment_value,initiated_n,risk_set_evaluable_n,excluded_insufficient_follow_up_n,persistent_n,persistence_rate,persistence_percent,persistence_failure_n,temporary_gap_restarted_n,documented_or_terminal_gap_discontinuation_n,switch_competing_event_n,death_competing_event_n,lost_to_follow_up_competing_event_n,administrative_censoring_before_landmark_n,unknown_before_landmark_n,conclusion_type,causal_interpretation_allowed
mcrpc,30,90,3_months,overall,ALL,5,5,0,5,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,overall,ALL,5,4,1,4,1.0,100.0,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,overall,ALL,5,3,2,3,1.0,100.0,0,0,0,0,1,0,1,0,PROXY-BASED,False
mcrpc,30,90,3_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,90,3_months,market,JP,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,market,JP,1,0,1,0,,,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,market,JP,1,0,1,0,,,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,30,90,3_months,market,US,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,market,US,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,market,US,3,2,1,2,1.0,100.0,0,0,0,0,0,0,1,0,PROXY-BASED,False
mcrpc,30,90,3_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,90,3_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,90,3_months,care_setting,community_urology,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,30,180,6_months,care_setting,community_urology,3,2,1,2,1.0,100.0,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,30,365,12_months,care_setting,community_urology,3,1,2,1,1.0,100.0,0,0,0,0,1,0,1,0,PROXY-BASED,False
mcrpc,60,90,3_months,overall,ALL,5,5,0,5,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,overall,ALL,5,4,1,4,1.0,100.0,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,overall,ALL,5,3,2,3,1.0,100.0,0,0,0,0,1,0,1,0,PROXY-BASED,False
mcrpc,60,90,3_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,90,3_months,market,JP,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,market,JP,1,0,1,0,,,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,market,JP,1,0,1,0,,,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,60,90,3_months,market,US,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,market,US,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,market,US,3,2,1,2,1.0,100.0,0,0,0,0,0,0,1,0,PROXY-BASED,False
mcrpc,60,90,3_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,90,3_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,90,3_months,care_setting,community_urology,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,60,180,6_months,care_setting,community_urology,3,2,1,2,1.0,100.0,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,60,365,12_months,care_setting,community_urology,3,1,2,1,1.0,100.0,0,0,0,0,1,0,1,0,PROXY-BASED,False
mcrpc,90,90,3_months,overall,ALL,5,5,0,5,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,overall,ALL,5,4,1,4,1.0,100.0,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,overall,ALL,5,3,2,3,1.0,100.0,0,0,0,0,1,0,1,0,PROXY-BASED,False
mcrpc,90,90,3_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,market,CN,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,90,3_months,market,JP,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,market,JP,1,0,1,0,,,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,market,JP,1,0,1,0,,,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,90,90,3_months,market,US,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,market,US,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,market,US,3,2,1,2,1.0,100.0,0,0,0,0,0,0,1,0,PROXY-BASED,False
mcrpc,90,90,3_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,care_setting,academic_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,90,3_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,care_setting,community_oncology,1,1,0,1,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,90,3_months,care_setting,community_urology,3,3,0,3,1.0,100.0,0,0,0,0,0,0,0,0,PROXY-BASED,False
mcrpc,90,180,6_months,care_setting,community_urology,3,2,1,2,1.0,100.0,0,0,0,0,1,0,0,0,PROXY-BASED,False
mcrpc,90,365,12_months,care_setting,community_urology,3,1,2,1,1.0,100.0,0,0,0,0,1,0,1,0,PROXY-BASED,False
mhspc_mcspc,30,90,3_months,overall,ALL,1751,1737,14,1613,0.9286125503742084,92.86125503742085,123,117,6,1,14,0,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,180,6_months,overall,ALL,1751,1705,46,1165,0.6832844574780058,68.32844574780059,504,370,134,36,40,6,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,365,12_months,overall,ALL,1751,1676,75,714,0.42601431980906923,42.60143198090692,878,542,336,84,62,13,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,90,3_months,market,AU,91,91,0,88,0.967032967032967,96.7032967032967,3,2,1,0,0,0,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,180,6_months,market,AU,91,88,3,68,0.7727272727272727,77.27272727272727,19,13,6,1,3,0,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,365,12_months,market,AU,91,86,5,45,0.5232558139534884,52.325581395348834,36,21,15,5,4,1,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,90,3_months,market,CA,121,119,2,108,0.907563025210084,90.75630252100841,11,10,1,0,2,0,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,180,6_months,market,CA,121,118,3,76,0.6440677966101694,64.40677966101696,40,26,14,2,3,0,0,0,DESCRIPTIVE,False
mhspc_mcspc,30,365,12_months,market,CA,121,115,6,46,0.4,40.0,62,37,25,7,5,1,0,0,DESCRIPTIVE,False
