target,model,split,subgroup_dimension,subgroup_value,n,positive_n,prevalence,small_cell_flag,pr_auc,roc_auc,brier_score,threshold,actual_capacity_fraction,recall_at_capacity,precision_at_capacity,specificity_at_capacity,true_negative,false_positive,false_negative,true_positive,interpretation
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,AU,30,5,0.16666666666666666,False,0.14513457556935816,0.288,0.1524358869394447,0.26907546392495624,0.1,0.0,0.0,0.88,22,3,5,0,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,CA,38,10,0.2631578947368421,False,0.291923995956254,0.48214285714285715,0.19785497088749057,0.26907546392495624,0.3684210526315789,0.3,0.21428571428571427,0.6071428571428571,17,11,7,3,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,CN,91,50,0.5494505494505495,False,0.5163240027831397,0.4151219512195122,0.3033805495117132,0.26907546392495624,0.8131868131868132,0.8,0.5405405405405406,0.17073170731707318,7,34,10,40,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,DE,101,22,0.21782178217821782,False,0.3022469168777065,0.5909090909090909,0.17183773416917067,0.26907546392495624,0.04950495049504951,0.09090909090909091,0.4,0.9620253164556962,76,3,20,2,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,FR,58,6,0.10344827586206896,False,0.19063326783506065,0.5769230769230769,0.09618506835583669,0.26907546392495624,0.034482758620689655,0.16666666666666666,0.5,0.9807692307692307,51,1,5,1,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,JP,86,10,0.11627906976744186,False,0.2404344933549432,0.5986842105263158,0.10029114304609574,0.26907546392495624,0.0,0.0,,1.0,76,0,10,0,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,market_code,US,161,36,0.2236024844720497,False,0.31316529186943887,0.5397777777777778,0.17274787232539918,0.26907546392495624,0.09316770186335403,0.1388888888888889,0.3333333333333333,0.92,115,10,31,5,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,disease_state,mHSPC,565,139,0.24601769911504426,False,0.3942264675929094,0.6684567838686797,0.1753468785301808,0.26907546392495624,0.2,0.3669064748201439,0.45132743362831856,0.8544600938967136,364,62,88,51,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,age_band,65_74,258,62,0.24031007751937986,False,0.4818802616842007,0.7388084265964451,0.16329666873521362,0.26907546392495624,0.1821705426356589,0.45161290322580644,0.5957446808510638,0.9030612244897959,177,19,34,28,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
non_initiated_within_90_days,logistic_regression,temporal_test,age_band,GE_75,158,43,0.2721518987341772,False,0.34248831502961485,0.5656218402426694,0.20105235206998623,0.26907546392495624,0.2468354430379747,0.3023255813953488,0.3333333333333333,0.7739130434782608,89,26,30,13,"Predictive subgroup performance only; differences may reflect sample size, measurement or synthetic construction."
