record_type,table_name,metric,market_code,value,denominator,proportion,date_min,date_max
date_coverage,patient,birth_date,ALL,10000,10000,1.0,1928-06-14,1974-06-17
date_coverage,patient,index_date,ALL,10000,10000,1.0,2019-01-01,2024-09-30
date_coverage,patient,date_of_death,ALL,772,10000,0.0772,2019-05-19,2025-12-31
date_coverage,diagnosis,diagnosis_date,ALL,10000,10000,1.0,2019-01-01,2024-09-30
date_coverage,diagnosis,metastatic_date,ALL,2844,10000,0.2844,2019-01-02,2024-09-29
date_coverage,diagnosis,hormone_sensitive_confirmation_date,ALL,2369,10000,0.2369,2019-01-02,2024-09-29
date_coverage,diagnosis,castration_resistant_date,ALL,185,10000,0.0185,2019-01-06,2024-09-27
date_coverage,disease_state_event,state_date,ALL,10177,10177,1.0,2019-01-01,2025-12-24
date_coverage,eligibility,eligibility_date,ALL,2281,10000,0.2281,2019-01-02,2024-09-29
date_coverage,eligibility,censor_date_at_generation,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,encounter,encounter_date,ALL,76819,76819,1.0,2019-01-01,2025-12-31
date_coverage,referral,referral_date,ALL,5419,5419,1.0,2019-01-05,2025-12-20
date_coverage,referral,completion_date,ALL,3984,5419,0.7351909946484592,2019-01-25,2025-12-28
date_coverage,active_surveillance,as_start_date,ALL,1738,5055,0.34381800197823936,2019-01-17,2024-11-18
date_coverage,active_surveillance,as_exit_date,ALL,465,5055,0.09198813056379822,2019-11-09,2025-12-30
date_coverage,active_surveillance,as_reclassification_date,ALL,399,5055,0.07893175074183977,2019-11-09,2025-12-30
date_coverage,active_surveillance,planned_treatment_start_date,ALL,341,5055,0.06745796241345203,2020-01-14,2025-12-29
date_coverage,observation,observation_start_date,ALL,10000,10000,1.0,2017-01-16,2024-03-14
date_coverage,observation,observation_end_date,ALL,10000,10000,1.0,2025-12-31,2025-12-31
date_coverage,observation,last_observed_date,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,observation,loss_to_follow_up_date,ALL,804,10000,0.0804,2019-09-06,2025-12-30
date_coverage,observation,death_date,ALL,772,10000,0.0772,2019-05-19,2025-12-31
date_coverage,observation,censor_date,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,treatment_episode,treatment_start_date,ALL,2369,2369,1.0,2019-02-07,2025-12-29
date_coverage,treatment_episode,treatment_end_date,ALL,2369,2369,1.0,2019-05-29,2025-12-31
date_coverage,treatment_episode,discontinuation_date,ALL,433,2369,0.18277754326720136,2019-06-09,2025-11-08
date_coverage,treatment_episode,switch_date,ALL,145,2369,0.06120726044744618,2019-07-24,2025-11-21
date_coverage,treatment_episode,restart_date,ALL,132,2369,0.05571971295905445,2019-08-07,2025-11-07
date_coverage,treatment_regimen,regimen_start_date,ALL,2369,2369,1.0,2019-02-07,2025-12-29
date_coverage,treatment_regimen,regimen_end_date,ALL,2369,2369,1.0,2019-05-29,2025-12-31
date_coverage,treatment_regimen_component,component_start_date,ALL,4230,4230,1.0,2019-02-07,2025-12-29
date_coverage,treatment_regimen_component,component_end_date,ALL,4230,4230,1.0,2019-05-29,2025-12-31
date_coverage,prescription_event,service_date,ALL,26306,26306,1.0,2019-02-07,2025-12-31
date_coverage,prescription_event,nominal_covered_until_date,ALL,26306,26306,1.0,2019-02-28,2026-03-31
date_coverage,prescription_event,covered_until_date,ALL,26306,26306,1.0,2019-02-28,2025-12-31
date_coverage,adverse_event,adverse_event_date,ALL,439,439,1.0,2019-03-19,2025-12-26
date_coverage,outcome,progression_date,ALL,2533,10000,0.2533,2019-05-18,2025-12-31
date_coverage,outcome,castration_resistant_date,ALL,177,10000,0.0177,2019-08-05,2025-12-24
date_coverage,outcome,first_hospitalisation_date,ALL,1243,10000,0.1243,2019-04-27,2025-12-31
date_coverage,outcome,death_date,ALL,772,10000,0.0772,2019-05-19,2025-12-31
date_coverage,outcome,loss_to_follow_up_date,ALL,804,10000,0.0804,2019-09-06,2025-12-30
date_coverage,outcome,last_observed_date,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,outcome,censor_date,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,patient_journey,eligibility_date,ALL,2281,10000,0.2281,2019-01-02,2024-09-29
date_coverage,patient_journey,active_surveillance_start_date,ALL,1738,10000,0.1738,2019-01-17,2024-11-18
date_coverage,patient_journey,active_surveillance_exit_date,ALL,465,10000,0.0465,2019-11-09,2025-12-30
date_coverage,patient_journey,active_surveillance_reclassification_date,ALL,399,10000,0.0399,2019-11-09,2025-12-30
date_coverage,patient_journey,treatment_start_date,ALL,2092,10000,0.2092,2019-02-07,2025-12-29
date_coverage,patient_journey,event_coverage_until_date,ALL,1751,10000,0.1751,2019-05-29,2025-12-31
date_coverage,patient_journey,discontinuation_date,ALL,433,10000,0.0433,2019-06-09,2025-11-08
date_coverage,patient_journey,switch_date,ALL,145,10000,0.0145,2019-07-24,2025-11-21
date_coverage,patient_journey,observation_start_date,ALL,10000,10000,1.0,2017-01-16,2024-03-14
date_coverage,patient_journey,observation_end_date,ALL,10000,10000,1.0,2025-12-31,2025-12-31
date_coverage,patient_journey,last_observed_date,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,patient_journey,loss_to_follow_up_date,ALL,804,10000,0.0804,2019-09-06,2025-12-30
date_coverage,patient_journey,death_date,ALL,772,10000,0.0772,2019-05-19,2025-12-31
date_coverage,patient_journey,censor_date,ALL,10000,10000,1.0,2019-05-19,2025-12-31
date_coverage,patient_journey,progression_date,ALL,2533,10000,0.2533,2019-05-18,2025-12-31
date_coverage,patient_journey,first_hospitalisation_date,ALL,1243,10000,0.1243,2019-04-27,2025-12-31
followup_landmark,observation,enough_observation_30d,ALL,10000,10000,1.0,,
followup_landmark,observation,enough_observation_60d,ALL,10000,10000,1.0,,
followup_landmark,observation,enough_observation_90d,ALL,10000,10000,1.0,,
followup_landmark,observation,enough_observation_365d,ALL,9606,10000,0.9606,,
