pathway,time_days,n_at_risk,events,censored,survival,estimator_note
mcrpc,0.0,346,0,0,1.0,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,7.0,346,0,2,1.0,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,10.0,344,0,1,1.0,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,15.0,343,0,1,1.0,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,18.0,342,0,1,1.0,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,26.0,341,1,0,0.9970674486803519,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,28.0,340,1,0,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,33.0,339,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,34.0,338,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,39.0,337,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,57.0,336,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,73.0,335,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,77.0,334,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,81.0,333,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,82.0,332,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
mcrpc,83.0,331,0,1,0.9941348973607038,"Standard KM; death and LTFU right-censored. Competing incidence is descriptive, so initiation probability may be overestimated."
