pathway,segment_dimension,segment_value,eligible_n,initiator_n,noninitiator_censored_n,death_before_initiation_n,lost_to_follow_up_before_initiation_n,administrative_censoring_before_initiation_n,median_days_observed_initiators,p25_days_observed_initiators,p75_days_observed_initiators,iqr_days_observed_initiators,p90_days_observed_initiators,km_median_time_to_initiation_days,small_cell_flag,conclusion_type,km_percent_not_initiated_by_30d,risk_set_at_30d,observable_at_30d_n,initiated_by_30d_n,crude_percent_not_initiated_by_30d_among_observable,km_percent_not_initiated_by_60d,risk_set_at_60d,observable_at_60d_n,initiated_by_60d_n,crude_percent_not_initiated_by_60d_among_observable,km_percent_not_initiated_by_90d,risk_set_at_90d,observable_at_90d_n,initiated_by_90d_n,crude_percent_not_initiated_by_90d_among_observable
mcrpc,overall,ALL,346,5,341.0,45.0,29.0,267.0,90.0,28.0,217.0,189.0,232.6,,False,PROXY-BASED,99.41348973607037,339.0,341.0,2.0,99.41348973607037,99.41348973607037,335.0,337.0,2.0,99.40652818991099,99.11223673687016,330.0,332.0,3.0,99.09638554216868
mcrpc,market,AU,22,0,22.0,3.0,3.0,16.0,,,,,,,True,PROXY-BASED,100.0,22.0,22.0,0.0,100.0,100.0,22.0,22.0,0.0,100.0,100.0,21.0,21.0,0.0,100.0
mcrpc,market,CA,26,0,26.0,6.0,2.0,18.0,,,,,,,True,PROXY-BASED,100.0,26.0,26.0,0.0,100.0,100.0,26.0,26.0,0.0,100.0,100.0,25.0,25.0,0.0,100.0
mcrpc,market,CN,51,1,50.0,10.0,6.0,34.0,90.0,90.0,90.0,0.0,90.0,,False,PROXY-BASED,100.0,51.0,51.0,0.0,100.0,100.0,51.0,51.0,0.0,100.0,98.0392156862745,51.0,51.0,1.0,98.03921568627452
mcrpc,market,DE,55,0,55.0,8.0,2.0,45.0,,,,,,,False,PROXY-BASED,100.0,53.0,53.0,0.0,100.0,100.0,51.0,51.0,0.0,100.0,100.0,50.0,50.0,0.0,100.0
mcrpc,market,FR,28,0,28.0,1.0,4.0,23.0,,,,,,,True,PROXY-BASED,100.0,28.0,28.0,0.0,100.0,100.0,28.0,28.0,0.0,100.0,100.0,28.0,28.0,0.0,100.0
mcrpc,market,JP,51,1,50.0,6.0,3.0,41.0,217.0,217.0,217.0,0.0,217.0,,False,PROXY-BASED,100.0,51.0,51.0,0.0,100.0,100.0,49.0,49.0,0.0,100.0,100.0,48.0,48.0,0.0,100.0
mcrpc,market,US,113,3,110.0,11.0,9.0,90.0,28.0,27.0,135.5,108.5,200.0,,False,PROXY-BASED,98.18181818181819,108.0,110.0,2.0,98.18181818181819,98.18181818181819,108.0,110.0,2.0,98.18181818181819,98.18181818181819,107.0,109.0,2.0,98.1651376146789
mcrpc,disease_state,mCRPC,346,5,341.0,45.0,29.0,267.0,90.0,28.0,217.0,189.0,232.6,,False,PROXY-BASED,99.41348973607037,339.0,341.0,2.0,99.41348973607037,99.41348973607037,335.0,337.0,2.0,99.40652818991099,99.11223673687016,330.0,332.0,3.0,99.09638554216868
mcrpc,care_setting,academic_oncology,74,1,73.0,7.0,4.0,62.0,90.0,90.0,90.0,0.0,90.0,,False,PROXY-BASED,100.0,72.0,72.0,0.0,100.0,100.0,70.0,70.0,0.0,100.0,98.55072463768117,69.0,69.0,1.0,98.55072463768116
