pathway,pathway_label,segment_dimension,segment_value,window_days,market_depth_context,n,eligible_n,eligible_observed_n,eligible_proxy_n,eligibility_uncertain_n,evaluable_eligible_n,censored_before_window_n,initiated_n,eligible_but_not_initiated_n,initiation_rate,treatment_gap,wilson_95_lower,wilson_95_upper,non_intensified_n,non_intensified_rate,follow_up_adequacy,missingness_rate,confidence_category,actionability,conclusion_type,initiation_event_type
mhspc_mcspc,mHSPC/mCSPC,overall,ALL,30,mixed,2369,2281,2281,0,0,2281,0,275,2006,0.12056115738711091,0.8794388426128891,0.10783225290274465,0.1345659947482085,69.0,0.2509090909090909,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,overall,ALL,60,mixed,2369,2281,2281,0,0,2281,0,1255,1026,0.5501972818939062,0.44980271810609385,0.5297142062511541,0.57051155994638,289.0,0.2302788844621514,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,overall,ALL,90,mixed,2369,2281,2281,0,0,2281,0,1700,581,0.7452871547566856,0.2547128452433144,0.7270044800447014,0.7627450063091884,379.0,0.22294117647058823,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,AU,30,scan,119,113,113,0,0,113,0,10,103,0.08849557522123894,0.911504424778761,0.04877885362602272,0.15527175848473238,3.0,0.3,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,AU,60,scan,119,113,113,0,0,113,0,63,50,0.5575221238938053,0.4424778761061947,0.46555055620499053,0.6457111861881296,16.0,0.25396825396825395,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,AU,90,scan,119,113,113,0,0,113,0,90,23,0.7964601769911505,0.20353982300884954,0.7130582204818585,0.8603676826211459,19.0,0.2111111111111111,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,CA,30,scan,173,165,165,0,0,165,0,11,154,0.06666666666666667,0.9333333333333333,0.03762973233775169,0.11542259599839294,3.0,0.2727272727272727,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,CA,60,scan,173,165,165,0,0,165,0,65,100,0.3939393939393939,0.6060606060606061,0.32260939942166716,0.4700957159053611,11.0,0.16923076923076924,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,CA,90,scan,173,165,165,0,0,165,0,113,52,0.6848484848484848,0.3151515151515152,0.6104399452673452,0.7508454251626908,22.0,0.19469026548672566,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,CN,30,scan,393,379,379,0,0,379,0,26,353,0.06860158311345646,0.9313984168865436,0.04724203506003305,0.09861881182807941,5.0,0.19230769230769232,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,CN,60,scan,393,379,379,0,0,379,0,116,263,0.30606860158311344,0.6939313984168866,0.2618084563843292,0.35422073166629015,27.0,0.23275862068965517,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,CN,90,scan,393,379,379,0,0,379,0,206,173,0.5435356200527705,0.45646437994722955,0.49320105549389176,0.5929964737192346,44.0,0.21359223300970873,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,DE,30,deep,396,385,385,0,0,385,0,47,338,0.12207792207792208,0.8779220779220779,0.0930582298420523,0.158565053263459,11.0,0.23404255319148937,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,DE,60,deep,396,385,385,0,0,385,0,261,124,0.6779220779220779,0.3220779220779221,0.6296859083608384,0.7226426490774605,62.0,0.23754789272030652,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,DE,90,deep,396,385,385,0,0,385,0,309,76,0.8025974025974026,0.19740259740259736,0.7599315437310059,0.8392841780436191,66.0,0.21359223300970873,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,FR,30,scan,232,222,222,0,0,222,0,27,195,0.12162162162162163,0.8783783783783784,0.08494621685811629,0.1711695740324902,9.0,0.3333333333333333,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,FR,60,scan,232,222,222,0,0,222,0,127,95,0.5720720720720721,0.4279279279279279,0.50630400659589,0.6353882237106613,29.0,0.2283464566929134,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,FR,90,scan,232,222,222,0,0,222,0,183,39,0.8243243243243243,0.17567567567567566,0.7688701695419131,0.868744866837567,45.0,0.2459016393442623,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,DESCRIPTIVE,treatment_initiation
mhspc_mcspc,mHSPC/mCSPC,market,JP,30,deep,351,342,342,0,0,342,0,70,272,0.2046783625730994,0.7953216374269005,0.16530935169368283,0.2506082244452201,19.0,0.2714285714285714,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation
