heatmap_row,market_code,market_group,care_setting,display_scope,mhspc_mcspc_n,mhspc_mcspc_eligible_n,mhspc_mcspc_evaluable_eligible_n,mhspc_mcspc_initiated_n,mhspc_mcspc_eligible_but_not_initiated_n,mhspc_mcspc_initiation_rate,mhspc_mcspc_treatment_gap,mhspc_mcspc_wilson_95_lower,mhspc_mcspc_wilson_95_upper,mhspc_mcspc_follow_up_adequacy,mhspc_mcspc_missingness_rate,mhspc_mcspc_confidence_category,mhspc_mcspc_actionability,mhspc_mcspc_conclusion_type,mhspc_mcspc_initiation_event_type,nmcrpc_n,nmcrpc_eligible_n,nmcrpc_evaluable_eligible_n,nmcrpc_initiated_n,nmcrpc_eligible_but_not_initiated_n,nmcrpc_initiation_rate,nmcrpc_treatment_gap,nmcrpc_wilson_95_lower,nmcrpc_wilson_95_upper,nmcrpc_follow_up_adequacy,nmcrpc_missingness_rate,nmcrpc_confidence_category,nmcrpc_actionability,nmcrpc_conclusion_type,nmcrpc_initiation_event_type,mcrpc_n,mcrpc_eligible_n,mcrpc_evaluable_eligible_n,mcrpc_initiated_n,mcrpc_eligible_but_not_initiated_n,mcrpc_initiation_rate,mcrpc_treatment_gap,mcrpc_wilson_95_lower,mcrpc_wilson_95_upper,mcrpc_follow_up_adequacy,mcrpc_missingness_rate,mcrpc_confidence_category,mcrpc_actionability,mcrpc_conclusion_type,mcrpc_initiation_event_type,active_surveillance_n,active_surveillance_eligible_n,active_surveillance_evaluable_eligible_n,active_surveillance_initiated_n,active_surveillance_eligible_but_not_initiated_n,active_surveillance_initiation_rate,active_surveillance_treatment_gap,active_surveillance_wilson_95_lower,active_surveillance_wilson_95_upper,active_surveillance_follow_up_adequacy,active_surveillance_missingness_rate,active_surveillance_confidence_category,active_surveillance_actionability,active_surveillance_conclusion_type,active_surveillance_initiation_event_type
US | academic_oncology,US,Deep,academic_oncology,DEEP_DETAIL,107,101,101,80,21,0.7920792079207921,0.20792079207920788,0.7029607096328665,0.8597930064492993,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,14,13,11,0,11,0.0,1.0,2.7755575615628914e-17,0.2588400172488141,0.8461538461538461,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,193,136,136,70,66,0.5147058823529411,0.4852941176470589,0.4314647506955499,0.5971390410230802,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
US | community_oncology,US,Deep,community_oncology,DEEP_DETAIL,84,83,83,59,24,0.7108433734939759,0.28915662650602414,0.6057057654384659,0.7973268825090616,1.0,0.0,MEDIUM,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,13,12,12,1,11,0.08333333333333333,0.9166666666666666,0.014864709450773478,0.35388592179859524,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,151,104,104,47,57,0.4519230769230769,0.5480769230769231,0.35968758127067046,0.5475838241980912,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
US | community_urology,US,Deep,community_urology,DEEP_DETAIL,370,352,352,264,88,0.75,0.25,0.7022288861664626,0.7923732064500274,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,78,73,72,1,71,0.013888888888888888,0.9861111111111112,0.002455888640432169,0.07456780284286987,0.9863013698630136,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,630,416,416,223,193,0.5360576923076923,0.4639423076923077,0.48802302607663217,0.5834324942910493,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
US | mixed_pathway,US,Deep,mixed_pathway,DEEP_DETAIL,144,139,139,108,31,0.7769784172661871,0.2230215827338129,0.7008577684155342,0.8382008811655404,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,15,15,14,0,14,0.0,1.0,0.0,0.21531701192718142,0.9333333333333333,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,243,167,167,89,78,0.5329341317365269,0.46706586826347307,0.4573755173630554,0.6070116108305461,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
DE | academic_oncology,DE,Deep,academic_oncology,DEEP_DETAIL,152,150,150,123,27,0.82,0.18000000000000005,0.7507753195800668,0.8732431513666732,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,20,20,18,0,18,0.0,1.0,0.0,0.1758845505823749,0.9,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,402,285,285,161,124,0.5649122807017544,0.43508771929824563,0.5068675666366067,0.6212303250798219,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
DE | community_oncology,DE,Deep,community_oncology,DEEP_DETAIL,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,PROXY-BASED,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,PROXY-BASED,active_surveillance_uptake
DE | community_urology,DE,Deep,community_urology,DEEP_DETAIL,156,149,149,120,29,0.8053691275167785,0.19463087248322153,0.7344582427401484,0.8609294004145948,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,20,20,17,0,17,0.0,1.0,0.0,0.18432366037156456,0.85,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,362,243,243,146,97,0.6008230452674898,0.39917695473251025,0.5381391751111033,0.6603686939028717,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
DE | mixed_pathway,DE,Deep,mixed_pathway,DEEP_DETAIL,88,86,86,66,20,0.7674418604651163,0.2325581395348837,0.6679021685151015,0.8441100841607191,1.0,0.0,MEDIUM,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,16,15,15,0,15,0.0,1.0,0.0,0.20388926630434784,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,191,123,123,73,50,0.5934959349593496,0.4065040650406504,0.5051369744531611,0.6761915486812049,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
JP | academic_oncology,JP,Deep,academic_oncology,DEEP_DETAIL,54,50,50,44,6,0.88,0.12,0.7619492111337642,0.9438247628937535,1.0,0.0,MEDIUM,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,8,8,7,0,7,0.0,1.0,0.0,0.35433884297520657,0.875,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,105,65,65,24,41,0.36923076923076925,0.6307692307692307,0.26229222189067253,0.49076406965397484,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
JP | community_oncology,JP,Deep,community_oncology,DEEP_DETAIL,120,117,117,97,20,0.8290598290598291,0.1709401709401709,0.7506669301682546,0.8865308560245798,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,18,18,16,0,16,0.0,1.0,0.0,0.19361341827271994,0.8888888888888888,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,330,235,235,116,119,0.49361702127659574,0.5063829787234042,0.4303128239668396,0.5571265500785527,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
JP | community_urology,JP,Deep,community_urology,DEEP_DETAIL,177,175,175,147,28,0.84,0.16000000000000003,0.7784719905243899,0.8869212960487564,1.0,0.0,HIGH,ACTIONABLE_DESCRIPTIVE,DESCRIPTIVE,treatment_initiation,0,0,0,0,0,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,25,25,25,0,25,0.0,1.0,0.0,0.13319649395317873,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,474,328,328,150,178,0.4573170731707317,0.5426829268292683,0.40420797447311785,0.5114144188615334,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
