pathway,pathway_label,market_code,market_group,market_depth,care_setting,provider_specialty,academic_vs_community,n,eligible_n,eligible_observed_n,eligible_proxy_n,eligibility_uncertain_n,evaluable_eligible_n,censored_before_window_n,initiated_n,eligible_but_not_initiated_n,initiation_rate,treatment_gap,wilson_95_lower,wilson_95_upper,non_intensified_n,non_intensified_rate,follow_up_adequacy,missingness_rate,confidence_category,actionability,conclusion_type,initiation_event_type,feasibility_proxy,feasibility_proxy_definition,data_confidence_score,analytical_priority_score,ranking_basis,business_value_input,business_value_status,pathway_rank
active_surveillance,Active surveillance uptake,US,Deep,deep,community_urology,urology,community,630,416,416,0,0,416,0,223,193,0.5360576923076923,0.4639423076923077,0.48802302607663217,0.5834324942910493,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,135.1,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,1
active_surveillance,Active surveillance uptake,FR,Scan,scan,community_urology,urology,community,592,386,386,0,0,386,0,203,183,0.5259067357512953,0.4740932642487047,0.47608314686018127,0.5752197412872099,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,128.1,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,2
active_surveillance,Active surveillance uptake,JP,Deep,deep,community_urology,urology,community,474,328,328,0,0,328,0,150,178,0.4573170731707317,0.5426829268292683,0.40420797447311785,0.5114144188615334,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,124.6,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,3
active_surveillance,Active surveillance uptake,AU,Scan,scan,community_urology,urology,community,476,311,311,0,0,311,0,178,133,0.572347266881029,0.427652733118971,0.5168079723264534,0.6261210434071729,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,93.1,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,4
active_surveillance,Active surveillance uptake,CA,Scan,scan,mixed_pathway,urology,mixed_or_other,477,297,297,0,0,297,0,172,125,0.5791245791245792,0.42087542087542085,0.5223158774687234,0.6339125164767948,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,87.5,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,5
active_surveillance,Active surveillance uptake,DE,Deep,deep,academic_oncology,urology,academic,402,285,285,0,0,285,0,161,124,0.5649122807017544,0.43508771929824563,0.5068675666366067,0.6212303250798219,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,86.8,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,6
active_surveillance,Active surveillance uptake,JP,Deep,deep,community_oncology,urology,community,330,235,235,0,0,235,0,116,119,0.49361702127659574,0.5063829787234042,0.4303128239668396,0.5571265500785527,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,83.3,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,7
active_surveillance,Active surveillance uptake,CN,Scan,scan,academic_oncology,urology,academic,251,161,161,0,0,161,0,51,110,0.3167701863354037,0.6832298136645962,0.24989246350892486,0.39218817632956243,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,77.0,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,8
active_surveillance,Active surveillance uptake,DE,Deep,deep,community_urology,urology,community,362,243,243,0,0,243,0,146,97,0.6008230452674898,0.39917695473251025,0.5381391751111033,0.6603686939028717,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,67.89999999999999,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,9
active_surveillance,Active surveillance uptake,US,Deep,deep,mixed_pathway,urology,mixed_or_other,243,167,167,0,0,167,0,89,78,0.5329341317365269,0.46706586826347307,0.4573755173630554,0.6070116108305461,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,54.599999999999994,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,10
active_surveillance,Active surveillance uptake,CN,Scan,scan,community_urology,urology,community,178,110,110,0,0,110,0,35,75,0.3181818181818182,0.6818181818181819,0.2385362624482021,0.41009833158420783,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,52.5,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,11
active_surveillance,Active surveillance uptake,US,Deep,deep,academic_oncology,urology,academic,193,136,136,0,0,136,0,70,66,0.5147058823529411,0.4852941176470589,0.4314647506955499,0.5971390410230802,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,46.199999999999996,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,12
active_surveillance,Active surveillance uptake,US,Deep,deep,community_oncology,urology,community,151,104,104,0,0,104,0,47,57,0.4519230769230769,0.5480769230769231,0.35968758127067046,0.5475838241980912,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,39.9,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,13
active_surveillance,Active surveillance uptake,DE,Deep,deep,mixed_pathway,urology,mixed_or_other,191,123,123,0,0,123,0,73,50,0.5934959349593496,0.4065040650406504,0.5051369744531611,0.6761915486812049,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,35.0,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,14
active_surveillance,Active surveillance uptake,JP,Deep,deep,academic_oncology,urology,academic,105,65,65,0,0,65,0,24,41,0.36923076923076925,0.6307692307692307,0.26229222189067253,0.49076406965397484,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.7,28.7,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,15
mcrpc,mCRPC,US,Deep,deep,community_urology,urology,community,78,73,0,73,0,72,1,1,71,0.013888888888888888,0.9861111111111112,0.002455888640432169,0.07456780284286987,,,0.9863013698630136,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,0.9863013698630136,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,24.50958904109589,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,1
mcrpc,mCRPC,CN,Scan,scan,academic_oncology,urology,academic,35,33,0,33,0,33,0,1,32,0.030303030303030304,0.9696969696969697,0.005369272089651725,0.15319061673168066,,,1.0,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,11.2,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,2
mcrpc,mCRPC,FR,Scan,scan,community_urology,urology,community,30,28,0,28,0,28,0,0,28,0.0,1.0,0.0,0.12064720365810762,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,9.799999999999999,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,3
mcrpc,mCRPC,JP,Deep,deep,community_urology,urology,community,25,25,0,25,0,25,0,0,25,0.0,1.0,0.0,0.13319649395317873,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,8.75,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,4
mcrpc,mCRPC,CA,Scan,scan,mixed_pathway,urology,mixed_or_other,28,26,0,26,0,25,1,0,25,0.0,1.0,0.0,0.13319649395317873,,,0.9615384615384616,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,0.9615384615384616,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,8.413461538461538,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,5
mcrpc,mCRPC,AU,Scan,scan,community_urology,urology,community,24,22,0,22,0,21,1,0,21,0.0,1.0,0.0,0.15464382326420195,,,0.9545454545454546,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,0.9545454545454546,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,7.015909090909091,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,6
mcrpc,mCRPC,CN,Scan,scan,community_urology,urology,community,18,18,0,18,0,18,0,0,18,0.0,1.0,0.0,0.1758845505823749,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,6.3,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,7
mcrpc,mCRPC,DE,Deep,deep,academic_oncology,urology,academic,20,20,0,20,0,18,2,0,18,0.0,1.0,0.0,0.1758845505823749,,,0.9,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,0.9,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,5.669999999999999,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,8
mcrpc,mCRPC,DE,Deep,deep,mixed_pathway,urology,mixed_or_other,16,15,0,15,0,15,0,0,15,0.0,1.0,0.0,0.20388926630434784,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,5.25,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,9
mcrpc,mCRPC,DE,Deep,deep,community_urology,urology,community,20,20,0,20,0,17,3,0,17,0.0,1.0,0.0,0.18432366037156456,,,0.85,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,0.85,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,5.057499999999999,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,10
mcrpc,mCRPC,JP,Deep,deep,community_oncology,urology,community,18,18,0,18,0,16,2,0,16,0.0,1.0,0.0,0.19361341827271994,,,0.8888888888888888,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,0.8888888888888888,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,4.977777777777777,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,11
mcrpc,mCRPC,US,Deep,deep,mixed_pathway,urology,mixed_or_other,15,15,0,15,0,14,1,0,14,0.0,1.0,0.0,0.21531701192718142,,,0.9333333333333333,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,0.9333333333333333,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,4.573333333333333,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,12
mcrpc,mCRPC,US,Deep,deep,community_oncology,urology,community,13,12,0,12,0,12,0,1,11,0.08333333333333333,0.9166666666666666,0.014864709450773478,0.35388592179859524,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,1.0,follow_up_adequacy * (1 - missingness_rate); analytical feasibility only,0.35,3.8499999999999996,"eligible-but-not-initiated volume, gap, follow-up/completeness feasibility and data confidence",,NOT COMPUTABLE: no explicit business-value input exists,13
